Iteration,Award Category,Winner,Film
66,Best Visual Effects,The Nightmare Before Christmas,The Nightmare Before Christmas
67,Best Picture,Forrest Gump,Forrest Gump
67,Best Picture,Four Weddings and a Funeral,Four Weddings and a Funeral
67,Best Picture,Pulp Fiction,Pulp Fiction
67,Best Picture,Quiz Show,Quiz Show
67,Best Picture,The Shawshank Redemption,The Shawshank Redemption
67,Best Directing,Robert Zemeckis,Forrest Gump
67,Best Directing,Woody Allen,– Bullets Over Broadway
67,Best Directing,Quentin Tarantino,– Pulp Fiction
67,Best Directing,Robert Redford,– Quiz Show
67,Best Directing,Krzysztof Kieślowski,– Three Colours: Red
67,Best Actor in a Leading Role,Tom Hanks,Forrest Gump
67,Best Actor in a Leading Role,Morgan Freeman,– The Shawshank Redemption
67,Best Actor in a Leading Role,Nigel Hawthorne,– The Madness of King George
67,Best Actor in a Leading Role,Paul Newman,– Nobody's Fool
67,Best Actor in a Leading Role,John Travolta,– Pulp Fiction
67,Best Actress in a Leading Role,Jessica Lange,Blue Sky
67,Best Actress in a Leading Role,Jodie Foster,– Nell
67,Best Actress in a Leading Role,Miranda Richardson,– Tom & Viv
67,Best Actress in a Leading Role,Winona Ryder,– Little Women
67,Best Actress in a Leading Role,Susan Sarandon,– The Client
67,Best Actor in a Supporting Role,Martin Landau,Ed Wood
67,Best Actor in a Supporting Role,Samuel L. Jackson,– Pulp Fiction
67,Best Actor in a Supporting Role,Chazz Palminteri,– Bullets Over Broadway
67,Best Actor in a Supporting Role,Paul Scofield,– Quiz Show
67,Best Actor in a Supporting Role,Gary Sinise,– Forrest Gump
67,Best Actress in a Supporting Role,Dianne Wiest,Bullets Over Broadway
67,Best Actress in a Supporting Role,Rosemary Harris,– Tom & Viv
67,Best Actress in a Supporting Role,Helen Mirren,– The Madness of King George
67,Best Actress in a Supporting Role,Uma Thurman,– Pulp Fiction
67,Best Actress in a Supporting Role,Jennifer Tilly,– Bullets Over Broadway
67,Best Writing (Screenplay Written Directly for the Screen),Pulp Fiction,Pulp Fiction
67,Best Writing (Screenplay Written Directly for the Screen),Bullets Over Broadway,Bullets Over Broadway
67,Best Writing (Screenplay Written Directly for the Screen),Four Weddings and a Funeral,Four Weddings and a Funeral
67,Best Writing (Screenplay Written Directly for the Screen),Heavenly Creatures,Heavenly Creatures
67,Best Writing (Screenplay Written Directly for the Screen),Three Colours: Red,Three Colours: Red
67,Best Writing (Screenplay Based on Material Previously Produced or Published),Forrest Gump,Forrest Gump
67,Best Writing (Screenplay Based on Material Previously Produced or Published),The Madness of King George,The Madness of King George
67,Best Writing (Screenplay Based on Material Previously Produced or Published),Nobody's Fool,Nobody's Fool
67,Best Writing (Screenplay Based on Material Previously Produced or Published),Quiz Show,Quiz Show
67,Best Writing (Screenplay Based on Material Previously Produced or Published),The Shawshank Redemption,The Shawshank Redemption
67,Best Foreign Language Film,Burnt by the Sun (Russia) in Russian,Burnt by the Sun
67,Best Foreign Language Film,"Before the Rain (FYR Macedonia) in Macedonian, Albanian, and English",Before the Rain
67,Best Foreign Language Film,Eat Drink Man Woman (Taiwan) in Mandarin Chinese,Eat Drink Man Woman
67,Best Foreign Language Film,Farinelli: Il Castrato (Belgium) in French and Italian,Farinelli: Il Castrato
67,Best Foreign Language Film,Strawberry and Chocolate (Cuba) in Spanish,Strawberry and Chocolate
67,Best Documentary (Feature),Maya Lin: A Strong Clear Vision,Maya Lin: A Strong Clear Vision
67,Best Documentary (Feature),Complaints of a Dutiful Daughter,Complaints of a Dutiful Daughter
67,Best Documentary (Feature),D-Day Remembered,D-Day Remembered
67,Best Documentary (Feature),Freedom on My Mind,Freedom on My Mind
67,Best Documentary (Feature),A Great Day in Harlem,A Great Day in Harlem
67,Best Documentary (Short Subject),A Time for Justice,A Time for Justice
67,Best Documentary (Short Subject),89mm from Europe,89mm from Europe
67,Best Documentary (Short Subject),Blues Highway,Blues Highway
67,Best Documentary (Short Subject),School of the Americas Assassins,School of the Americas Assassins
67,Best Documentary (Short Subject),Straight from the Heart,Straight from the Heart
67,Best Short Film (Live Action),Franz Kafka's It's a Wonderful Life,Franz Kafka's It's a Wonderful Life
67,Best Short Film (Live Action),Trevor,Trevor
67,Best Short Film (Live Action),Kangaroo Court,Kangaroo Court
67,Best Short Film (Live Action),On Hope,On Hope
67,Best Short Film (Live Action),Syrup,Syrup
67,Best Short Film (Animated),Bob's Birthday,Bob's Birthday
67,Best Short Film (Animated),The Big Story,The Big Story
67,Best Short Film (Animated),The Janitor,The Janitor
67,Best Short Film (Animated),The Monk and the Fish,The Monk and the Fish
67,Best Short Film (Animated),Triangle,Triangle
67,Best Music (Original Score),The Lion King,The Lion King
67,Best Music (Original Score),Forrest Gump,Forrest Gump
67,Best Music (Original Score),Interview with the Vampire,Interview with the Vampire
67,Best Music (Original Score),Little Women,Little Women
67,Best Music (Original Score),The Shawshank Redemption,The Shawshank Redemption
67,Best Music (Original Song),"""Can You Feel the Love Tonight"" from The Lion King",The Lion King
67,Best Music (Original Song),"""Circle of Life"" from The Lion King",The Lion King
67,Best Music (Original Song),"""Hakuna Matata"" from The Lion King",The Lion King
67,Best Music (Original Song),"""Look What Love Has Done"" from Junior",Junior
67,Best Music (Original Song),"""Make Up Your Mind"" from The Paper",The Paper
67,Best Sound Effects Editing,Speed,Speed
67,Best Sound Effects Editing,Clear and Present Danger,Clear and Present Danger
67,Best Sound Effects Editing,Forrest Gump,Forrest Gump
67,Best Sound,Speed,Speed
67,Best Sound,Clear and Present Danger,Clear and Present Danger
67,Best Sound,Forrest Gump,Forrest Gump
67,Best Sound,Legends of the Fall,Legends of the Fall
67,Best Sound,The Shawshank Redemption,The Shawshank Redemption
67,Best Art Direction,The Madness of King George,The Madness of King George
67,Best Art Direction,Bullets Over Broadway,Bullets Over Broadway
67,Best Art Direction,Forrest Gump,Forrest Gump
67,Best Art Direction,Interview with the Vampire,Interview with the Vampire
67,Best Art Direction,Legends of the Fall,Legends of the Fall
67,Best Cinematography,Legends of the Fall,Legends of the Fall
67,Best Cinematography,Forrest Gump,Forrest Gump
67,Best Cinematography,The Shawshank Redemption,The Shawshank Redemption
67,Best Cinematography,Three Colours: Red,Three Colours: Red
67,Best Cinematography,Wyatt Earp,Wyatt Earp
67,Best Makeup,Ed Wood,Ed Wood
67,Best Makeup,Forrest Gump,Forrest Gump
67,Best Makeup,Mary Shelley's Frankenstein,Mary Shelley's Frankenstein
67,Best Costume Design,"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert"
67,Best Costume Design,Bullets Over Broadway,Bullets Over Broadway
67,Best Costume Design,Little Women,Little Women
67,Best Costume Design,Maverick,Maverick
67,Best Costume Design,Queen Margot,Queen Margot
67,Best Film Editing,Forrest Gump,Forrest Gump
67,Best Film Editing,Hoop Dreams,Hoop Dreams
67,Best Film Editing,Pulp Fiction,Pulp Fiction
67,Best Film Editing,The Shawshank Redemption,The Shawshank Redemption
67,Best Film Editing,Speed,Speed
67,Best Visual Effects,Forrest Gump,Forrest Gump
67,Best Visual Effects,The Mask,The Mask
67,Best Visual Effects,True Lies,True Lies
68,Best Picture,Braveheart,Braveheart
68,Best Picture,Apollo 13,Apollo 13
68,Best Picture,Babe,Babe
68,Best Picture,Il Postino: The Postman,Il Postino: The Postman
68,Best Picture,Sense and Sensibility,Sense and Sensibility
68,Best Directing,Mel Gibson,Braveheart
68,Best Directing,Chris Noonan,– Babe
68,Best Directing,Tim Robbins,– Dead Man Walking
68,Best Directing,Mike Figgis,– Leaving Las Vegas
68,Best Directing,Michael Radford,– Il Postino: The Postman
68,Best Actor in a Leading Role,Nicolas Cage,Leaving Las Vegas
68,Best Actor in a Leading Role,Richard Dreyfuss,– Mr. Holland's Opus
68,Best Actor in a Leading Role,Anthony Hopkins,– Nixon
68,Best Actor in a Leading Role,Sean Penn,– Dead Man Walking
68,Best Actor in a Leading Role,Massimo Troisi (posthumous nomination),Il Postino: The Postman
68,Best Actress in a Leading Role,Susan Sarandon,Dead Man Walking
68,Best Actress in a Leading Role,Elisabeth Shue,– Leaving Las Vegas
68,Best Actress in a Leading Role,Sharon Stone,– Casino
68,Best Actress in a Leading Role,Meryl Streep,– The Bridges of Madison County
68,Best Actress in a Leading Role,Emma Thompson,– Sense and Sensibility
68,Best Actor in a Supporting Role,Kevin Spacey,The Usual Suspects
68,Best Actor in a Supporting Role,James Cromwell,– Babe
68,Best Actor in a Supporting Role,Ed Harris,– Apollo 13
68,Best Actor in a Supporting Role,Brad Pitt,– 12 Monkeys
68,Best Actor in a Supporting Role,Tim Roth,– Rob Roy
68,Best Actress in a Supporting Role,Mira Sorvino,Mighty Aphrodite
68,Best Actress in a Supporting Role,Joan Allen,– Nixon
68,Best Actress in a Supporting Role,Kathleen Quinlan,– Apollo 13
68,Best Actress in a Supporting Role,Mare Winningham,– Georgia
68,Best Actress in a Supporting Role,Kate Winslet,– Sense and Sensibility
68,Best Writing (Screenplay Written Directly for the Screen),The Usual Suspects,The Usual Suspects
68,Best Writing (Screenplay Written Directly for the Screen),Braveheart,Braveheart
68,Best Writing (Screenplay Written Directly for the Screen),Mighty Aphrodite,Mighty Aphrodite
68,Best Writing (Screenplay Written Directly for the Screen),Nixon,Nixon
68,Best Writing (Screenplay Written Directly for the Screen),Toy Story,Toy Story
68,Best Writing (Screenplay Based on Material Previously Produced or Published),Sense and Sensibility,Sense and Sensibility
68,Best Writing (Screenplay Based on Material Previously Produced or Published),Apollo 13,Apollo 13
68,Best Writing (Screenplay Based on Material Previously Produced or Published),Babe,Babe
68,Best Writing (Screenplay Based on Material Previously Produced or Published),Leaving Las Vegas,Leaving Las Vegas
68,Best Writing (Screenplay Based on Material Previously Produced or Published),Il Postino: The Postman,Il Postino: The Postman
68,Best Foreign Language Film,Antonia's Line (The Netherlands) in Dutch,Antonia's Line
68,Best Foreign Language Film,All Things Fair (Sweden) in Swedish,All Things Fair
68,Best Foreign Language Film,Dust of Life (Algeria) in French,Dust of Life
68,Best Foreign Language Film,O Quatrilho (Brazil) in Portuguese and Italian,O Quatrilho
68,Best Foreign Language Film,The Star Maker (Italy) in Italian,The Star Maker
68,Best Documentary (Feature),Anne Frank Remembered,Anne Frank Remembered
68,Best Documentary (Feature),The Battle Over Citizen Kane,The Battle Over Citizen Kane
68,Best Documentary (Feature),Fiddlefest—Roberta Tzavaras and Her East Harlem Violin Program,Fiddlefest—Roberta Tzavaras and Her East Harlem Violin Program
68,Best Documentary (Feature),Hank Aaron: Chasing the Dream,Hank Aaron: Chasing the Dream
68,Best Documentary (Feature),Troublesome Creek: A Midwestern,Troublesome Creek: A Midwestern
68,Best Documentary (Short Subject),One Survivor Remembers,One Survivor Remembers
68,Best Documentary (Short Subject),Jim Dine: A Self-Portrait on the Walls,Jim Dine: A Self-Portrait on the Walls
68,Best Documentary (Short Subject),The Living Sea,The Living Sea
68,Best Documentary (Short Subject),Never Give Up: The 20th Century Odyssey of Herbert Zipper,Never Give Up: The 20th Century Odyssey of Herbert Zipper
68,Best Documentary (Short Subject),The Shadow of Hate,The Shadow of Hate
68,Best Short Film (Live Action),Lieberman in Love,Lieberman in Love
68,Best Short Film (Live Action),Brooms,Brooms
68,Best Short Film (Live Action),Duke of Groove,Duke of Groove
68,Best Short Film (Live Action),Little Surprises,Little Surprises
68,Best Short Film (Live Action),Tuesday Morning Ride,Tuesday Morning Ride
68,Best Short Film (Animated),A Close Shave,A Close Shave
68,Best Short Film (Animated),The Chicken from Outer Space,The Chicken from Outer Space
68,Best Short Film (Animated),The End,The End
68,Best Short Film (Animated),Gagarin,Gagarin
68,Best Short Film (Animated),Runaway Brain,Runaway Brain
68,Best Music (Original Dramatic Score),Il Postino: The Postman,Il Postino: The Postman
68,Best Music (Original Dramatic Score),Apollo 13,Apollo 13
68,Best Music (Original Dramatic Score),Braveheart,Braveheart
68,Best Music (Original Dramatic Score),Nixon,Nixon
68,Best Music (Original Dramatic Score),Sense and Sensibility,Sense and Sensibility
68,Best Music (Original Musical or Comedy Score),Pocahontas,Pocahontas
68,Best Music (Original Musical or Comedy Score),The American President,The American President
68,Best Music (Original Musical or Comedy Score),Sabrina,Sabrina
68,Best Music (Original Musical or Comedy Score),Toy Story,Toy Story
68,Best Music (Original Musical or Comedy Score),Unstrung Heroes,Unstrung Heroes
68,Best Music (Original Song),"""Colors of the Wind"" from Pocahontas",Pocahontas
68,Best Music (Original Song),"""Dead Man Walkin'"" from Dead Man Walking",Dead Man Walking
68,Best Music (Original Song),"""Have You Ever Really Loved a Woman"" from Don Juan DeMarco",Don Juan DeMarco
68,Best Music (Original Song),"""Moonlight"" from Sabrina",Sabrina
68,Best Music (Original Song),"""You've Got a Friend in Me"" from Toy Story",Toy Story
68,Best Sound Effects Editing,Braveheart,Braveheart
68,Best Sound Effects Editing,Batman Forever,Batman Forever
68,Best Sound Effects Editing,Crimson Tide,Crimson Tide
68,Best Sound,Apollo 13,Apollo 13
68,Best Sound,Batman Forever,Batman Forever
68,Best Sound,Braveheart,Braveheart
68,Best Sound,Crimson Tide,Crimson Tide
68,Best Sound,Waterworld,Waterworld
68,Best Art Direction,Restoration,Restoration
68,Best Art Direction,Apollo 13,Apollo 13
68,Best Art Direction,Babe,Babe
68,Best Art Direction,A Little Princess,A Little Princess
68,Best Art Direction,Richard III,Richard III
68,Best Cinematography,Braveheart,Braveheart
68,Best Cinematography,Batman Forever,Batman Forever
68,Best Cinematography,A Little Princess,A Little Princess
68,Best Cinematography,Sense and Sensibility,Sense and Sensibility
68,Best Cinematography,Shanghai Triad,Shanghai Triad
68,Best Makeup,Braveheart,Braveheart
68,Best Makeup,"My Family, Mi Familia","My Family, Mi Familia"
68,Best Makeup,Roommates,Roommates
68,Best Costume Design,Restoration,Restoration
68,Best Costume Design,12 Monkeys,12 Monkeys
68,Best Costume Design,Braveheart,Braveheart
68,Best Costume Design,Richard III,Richard III
68,Best Costume Design,Sense and Sensibility,Sense and Sensibility
68,Best Film Editing,Apollo 13,Apollo 13
68,Best Film Editing,Babe,Babe
68,Best Film Editing,Braveheart,Braveheart
68,Best Film Editing,Crimson Tide,Crimson Tide
68,Best Film Editing,Seven,Seven
68,Best Visual Effects,Babe,Babe
68,Best Visual Effects,Apollo 13,Apollo 13
69,Best Picture,The English Patient,The English Patient
69,Best Picture,Fargo,Fargo
69,Best Picture,Jerry Maguire,Jerry Maguire
69,Best Picture,Secrets & Lies,Secrets & Lies
69,Best Picture,Shine,Shine
69,Best Directing,Anthony Minghella,The English Patient
69,Best Directing,Joel Coen,Fargo
69,Best Directing,Miloš Forman,The People vs. Larry Flynt
69,Best Directing,Mike Leigh,Secrets & Lies
69,Best Directing,Scott Hicks,Shine
69,Best Actor in a Leading Role,Geoffrey Rush,Shine
69,Best Actor in a Leading Role,Tom Cruise,Jerry Maguire
69,Best Actor in a Leading Role,Ralph Fiennes,The English Patient
69,Best Actor in a Leading Role,Woody Harrelson,The People vs. Larry Flynt
69,Best Actor in a Leading Role,Billy Bob Thornton,Sling Blade
69,Best Actress in a Leading Role,Frances McDormand,Fargo
69,Best Actress in a Leading Role,Brenda Blethyn,Secrets & Lies
69,Best Actress in a Leading Role,Diane Keaton,Marvin's Room
69,Best Actress in a Leading Role,Kristin Scott Thomas,The English Patient
69,Best Actress in a Leading Role,Emily Watson,Breaking the Waves
69,Best Actor in a Supporting Role,Cuba Gooding Jr.,Jerry Maguire
69,Best Actor in a Supporting Role,William H. Macy,Fargo
69,Best Actor in a Supporting Role,Armin Mueller-Stahl,Shine
69,Best Actor in a Supporting Role,Edward Norton,Primal Fear
69,Best Actor in a Supporting Role,James Woods,Ghosts of Mississippi
69,Best Actress in a Supporting Role,Juliette Binoche,The English Patient
69,Best Actress in a Supporting Role,Joan Allen,The Crucible
69,Best Actress in a Supporting Role,Lauren Bacall,The Mirror Has Two Faces
69,Best Actress in a Supporting Role,Barbara Hershey,The Portrait of a Lady
69,Best Actress in a Supporting Role,Marianne Jean-Baptiste,Secrets & Lies
69,Best Writing (Screenplay Written Directly for the Screen),Fargo,Fargo
69,Best Writing (Screenplay Written Directly for the Screen),Jerry Maguire,Jerry Maguire
69,Best Writing (Screenplay Written Directly for the Screen),Lone Star,Lone Star
69,Best Writing (Screenplay Written Directly for the Screen),Secrets & Lies,Secrets & Lies
69,Best Writing (Screenplay Written Directly for the Screen),Shine,Shine
69,Best Writing (Screenplay Based on Material Previously Produced or Published),Sling Blade,Sling Blade
69,Best Writing (Screenplay Based on Material Previously Produced or Published),The Crucible,The Crucible
69,Best Writing (Screenplay Based on Material Previously Produced or Published),The English Patient,The English Patient
69,Best Writing (Screenplay Based on Material Previously Produced or Published),Hamlet,Hamlet
69,Best Writing (Screenplay Based on Material Previously Produced or Published),Trainspotting,Trainspotting
69,Best Foreign Language Film,Kolya (Czech Republic) in Czech,Kolya
69,Best Foreign Language Film,"A Chef in Love (Georgia) in French, Georgian, Russian",A Chef in Love
69,Best Foreign Language Film,The Other Side of Sunday (Norway) in Norwegian,The Other Side of Sunday
69,Best Foreign Language Film,Prisoner of the Mountains (Russia) in Russian,Prisoner of the Mountains
69,Best Foreign Language Film,Ridicule (France) in French,Ridicule
69,Best Documentary (Feature),When We Were Kings,When We Were Kings
69,Best Documentary (Feature),The Line King: The Al Hirschfeld Story,The Line King: The Al Hirschfeld Story
69,Best Documentary (Feature),Mandela,Mandela
69,Best Documentary (Feature),Suzanne Farrell: Elusive Muse,Suzanne Farrell: Elusive Muse
69,Best Documentary (Feature),Tell the Truth and Run: George Seldes and the American Press,Tell the Truth and Run: George Seldes and the American Press
69,Best Documentary (Short Subject),Breathing Lessons: The Life and Work of Mark O'Brien,Breathing Lessons: The Life and Work of Mark O'Brien
69,Best Documentary (Short Subject),Cosmic Voyage,Cosmic Voyage
69,Best Documentary (Short Subject),An Essay on Matisse,An Essay on Matisse
69,Best Documentary (Short Subject),Special Effects: Anything Can Happen,Special Effects: Anything Can Happen
69,Best Documentary (Short Subject),The Wild Bunch: An Album in Montage,The Wild Bunch: An Album in Montage
69,Best Short Film (Live Action),Dear Diary,Dear Diary
69,Best Short Film (Live Action),"De tripas, corazón","De tripas, corazón"
69,Best Short Film (Live Action),Ernst & lyset,Ernst & lyset
69,Best Short Film (Live Action),Esposados,Esposados
69,Best Short Film (Live Action),Senza parole,Senza parole
69,Best Short Film (Animated),Quest,Quest
69,Best Short Film (Animated),Canhead,Canhead
69,Best Short Film (Animated),La Salla,La Salla
69,Best Short Film (Animated),Wat's Pig,Wat's Pig
69,Best Music (Original Dramatic Score),The English Patient,The English Patient
69,Best Music (Original Dramatic Score),Hamlet,Hamlet
69,Best Music (Original Dramatic Score),Michael Collins,Michael Collins
69,Best Music (Original Dramatic Score),Shine,Shine
69,Best Music (Original Dramatic Score),Sleepers,Sleepers
69,Best Music (Original Musical or Comedy Score),Emma,Emma
69,Best Music (Original Musical or Comedy Score),The First Wives Club,The First Wives Club
69,Best Music (Original Musical or Comedy Score),The Hunchback of Notre Dame,The Hunchback of Notre Dame
69,Best Music (Original Musical or Comedy Score),James and the Giant Peach,James and the Giant Peach
69,Best Music (Original Musical or Comedy Score),The Preacher's Wife,The Preacher's Wife
69,Best Music (Original Song),"""You Must Love Me"" from Evita",Evita
69,Best Music (Original Song),"""I Finally Found Someone"" from The Mirror Has Two Faces",The Mirror Has Two Faces
69,Best Music (Original Song),"""For the First Time"" from One Fine Day",One Fine Day
69,Best Music (Original Song),"""That Thing You Do!"" from That Thing You Do!",That Thing You Do!
69,Best Music (Original Song),"""Because You Loved Me"" from Up Close and Personal",Up Close and Personal
69,Best Sound Effects Editing,The Ghost and the Darkness,The Ghost and the Darkness
69,Best Sound Effects Editing,Daylight,Daylight
69,Best Sound Effects Editing,Eraser,Eraser
69,Best Sound,The English Patient,The English Patient
69,Best Sound,Evita,Evita
69,Best Sound,Independence Day,Independence Day
69,Best Sound,The Rock,The Rock
69,Best Sound,Twister,Twister
69,Best Art Direction,The English Patient,The English Patient
69,Best Art Direction,The Birdcage,The Birdcage
69,Best Art Direction,Evita,Evita
69,Best Art Direction,Hamlet,Hamlet
69,Best Art Direction,Romeo + Juliet,Romeo + Juliet
69,Best Cinematography,The English Patient,The English Patient
69,Best Cinematography,Evita,Evita
69,Best Cinematography,Fargo,Fargo
69,Best Cinematography,Fly Away Home,Fly Away Home
69,Best Cinematography,Michael Collins,Michael Collins
69,Best Makeup,The Nutty Professor,The Nutty Professor
69,Best Makeup,Ghosts of Mississippi,Ghosts of Mississippi
69,Best Makeup,Star Trek: First Contact,Star Trek: First Contact
69,Best Costume Design,The English Patient,The English Patient
69,Best Costume Design,Angels & Insects,Angels & Insects
69,Best Costume Design,Emma,Emma
69,Best Costume Design,Hamlet,Hamlet
69,Best Costume Design,The Portrait of a Lady,The Portrait of a Lady
69,Best Film Editing,The English Patient,The English Patient
69,Best Film Editing,Evita,Evita
69,Best Film Editing,Fargo,Fargo
69,Best Film Editing,Jerry Maguire,Jerry Maguire
69,Best Film Editing,Shine,Shine
69,Best Visual Effects,Independence Day,Independence Day
69,Best Visual Effects,Dragonheart,Dragonheart
69,Best Visual Effects,Twister,Twister
70,Best Picture,Titanic,Titanic
70,Best Picture,As Good as It Gets,As Good as It Gets
70,Best Picture,The Full Monty,The Full Monty
70,Best Picture,Good Will Hunting,Good Will Hunting
70,Best Picture,L.A. Confidential,L.A. Confidential
70,Best Directing,James Cameron,Titanic
70,Best Directing,Peter Cattaneo,The Full Monty
70,Best Directing,Gus Van Sant,Good Will Hunting
70,Best Directing,Curtis Hanson,L.A. Confidential
70,Best Directing,Atom Egoyan,The Sweet Hereafter
70,Best Actor in a Leading Role,Jack Nicholson,As Good as It Gets
70,Best Actor in a Leading Role,Matt Damon,Good Will Hunting
70,Best Actor in a Leading Role,Robert Duvall,The Apostle
70,Best Actor in a Leading Role,Peter Fonda,Ulee's Gold
70,Best Actor in a Leading Role,Dustin Hoffman,Wag the Dog
70,Best Actress in a Leading Role,Helen Hunt,As Good as It Gets
70,Best Actress in a Leading Role,Helena Bonham Carter,The Wings of the Dove
70,Best Actress in a Leading Role,Julie Christie,Afterglow
70,Best Actress in a Leading Role,Judi Dench,Mrs Brown
70,Best Actress in a Leading Role,Kate Winslet,Titanic
70,Best Actor in a Supporting Role,Robin Williams,Good Will Hunting
70,Best Actor in a Supporting Role,Robert Forster,Jackie Brown
70,Best Actor in a Supporting Role,Anthony Hopkins,Amistad
70,Best Actor in a Supporting Role,Greg Kinnear,As Good as It Gets
70,Best Actor in a Supporting Role,Burt Reynolds,Boogie Nights
70,Best Actress in a Supporting Role,Kim Basinger,L.A. Confidential
70,Best Actress in a Supporting Role,Joan Cusack,In & Out
70,Best Actress in a Supporting Role,Minnie Driver,Good Will Hunting
70,Best Actress in a Supporting Role,Julianne Moore,Boogie Nights
70,Best Actress in a Supporting Role,Gloria Stuart,Titanic
70,Best Writing (Screenplay Written Directly for the Screen),Good Will Hunting,Good Will Hunting
70,Best Writing (Screenplay Written Directly for the Screen),As Good as It Gets,As Good as It Gets
70,Best Writing (Screenplay Written Directly for the Screen),Boogie Nights,Boogie Nights
70,Best Writing (Screenplay Written Directly for the Screen),Deconstructing Harry,Deconstructing Harry
70,Best Writing (Screenplay Written Directly for the Screen),The Full Monty,The Full Monty
70,Best Writing (Screenplay Based on Material Previously Produced or Published),L.A. Confidential,L.A. Confidential
70,Best Writing (Screenplay Based on Material Previously Produced or Published),Donnie Brasco,Donnie Brasco
70,Best Writing (Screenplay Based on Material Previously Produced or Published),The Sweet Hereafter,The Sweet Hereafter
70,Best Writing (Screenplay Based on Material Previously Produced or Published),Wag the Dog,Wag the Dog
70,Best Writing (Screenplay Based on Material Previously Produced or Published),The Wings of the Dove,The Wings of the Dove
70,Best Foreign Language Film,Karakter (Netherlands) in Dutch,Karakter
70,Best Foreign Language Film,Beyond Silence (Germany) in German,Beyond Silence
70,Best Foreign Language Film,Four Days in September (Brazil) in Portuguese,Four Days in September
70,Best Foreign Language Film,Secrets of the Heart (Spain) in Spanish,Secrets of the Heart
70,Best Foreign Language Film,The Thief (Russia) in Russian,The Thief
70,Best Documentary (Feature),The Long Way Home,The Long Way Home
70,Best Documentary (Feature),4 Little Girls,4 Little Girls
70,Best Documentary (Feature),Ayn Rand: A Sense of Life,Ayn Rand: A Sense of Life
70,Best Documentary (Feature),Colors Straight Up,Colors Straight Up
70,Best Documentary (Feature),Waco: The Rules of Engagement,Waco: The Rules of Engagement
70,Best Documentary (Short Subject),A Story of Healing,A Story of Healing
70,Best Documentary (Short Subject),Alaska: Spirit of the Wild,Alaska: Spirit of the Wild
70,Best Documentary (Short Subject),Amazon,Amazon
70,Best Documentary (Short Subject),Family Video Diaries: Daughter of the Bride,Family Video Diaries: Daughter of the Bride
70,Best Documentary (Short Subject),Still Kicking: The Fabulous Palm Springs Follies,Still Kicking: The Fabulous Palm Springs Follies
70,Best Short Film (Live Action),Visas and Virtue,Visas and Virtue
70,Best Short Film (Live Action),Dance Lexie Dance,Dance Lexie Dance
70,Best Short Film (Live Action),It's Good to Talk,It's Good to Talk
70,Best Short Film (Live Action),Sweethearts?,Sweethearts?
70,Best Short Film (Live Action),Wolfgang,Wolfgang
70,Best Short Film (Animated),Geri's Game,Geri's Game
70,Best Short Film (Animated),Famous Fred,Famous Fred
70,Best Short Film (Animated),The Old Lady and the Pigeons,The Old Lady and the Pigeons
70,Best Short Film (Animated),Redux Riding Hood,Redux Riding Hood
70,Best Short Film (Animated),Rusalka,Rusalka
70,Best Music (Original Dramatic Score),Titanic,Titanic
70,Best Music (Original Dramatic Score),Amistad,Amistad
70,Best Music (Original Dramatic Score),Good Will Hunting,Good Will Hunting
70,Best Music (Original Dramatic Score),Kundun,Kundun
70,Best Music (Original Dramatic Score),L.A. Confidential,L.A. Confidential
70,Best Music (Original Musical or Comedy Score),The Full Monty,The Full Monty
70,Best Music (Original Musical or Comedy Score),Anastasia,Anastasia
70,Best Music (Original Musical or Comedy Score),As Good as It Gets,As Good as It Gets
70,Best Music (Original Musical or Comedy Score),Men in Black,Men in Black
70,Best Music (Original Musical or Comedy Score),My Best Friend's Wedding,My Best Friend's Wedding
70,Best Music (Original Song),"""My Heart Will Go On"" from Titanic",Titanic
70,Best Music (Original Song),"""Go the Distance"" from Hercules",Hercules
70,Best Music (Original Song),"""Journey to the Past"" from Anastasia",Anastasia
70,Best Music (Original Song),"""How Do I Live"" from Con Air",Con Air
70,Best Music (Original Song),"""Miss Misery"" from Good Will Hunting",Good Will Hunting
70,Best Sound Effects Editing,Titanic,Titanic
70,Best Sound Effects Editing,Face/Off,Face/Off
70,Best Sound Effects Editing,The Fifth Element,The Fifth Element
70,Best Sound,Titanic,Titanic
70,Best Sound,Air Force One,Air Force One
70,Best Sound,Con Air,Con Air
70,Best Sound,Contact,Contact
70,Best Sound,L.A. Confidential,L.A. Confidential
70,Best Art Direction,Titanic,Titanic
70,Best Art Direction,Gattaca,Gattaca
70,Best Art Direction,Kundun,Kundun
70,Best Art Direction,L.A. Confidential,L.A. Confidential
70,Best Art Direction,Men in Black,Men in Black
70,Best Cinematography,Titanic,Titanic
70,Best Cinematography,Amistad,Amistad
70,Best Cinematography,Kundun,Kundun
70,Best Cinematography,L.A. Confidential,L.A. Confidential
70,Best Cinematography,The Wings of the Dove,The Wings of the Dove
70,Best Makeup,Men in Black,Men in Black
70,Best Makeup,Mrs Brown,Mrs Brown
70,Best Makeup,Titanic,Titanic
70,Best Costume Design,Titanic,Titanic
70,Best Costume Design,Amistad,Amistad
70,Best Costume Design,Kundun,Kundun
70,Best Costume Design,Oscar and Lucinda,Oscar and Lucinda
70,Best Costume Design,The Wings of the Dove,The Wings of the Dove
70,Best Film Editing,Titanic,Titanic
70,Best Film Editing,Air Force One,Air Force One
