Award_Name,Iteration_Number,Movie_Name,Movie_ReleaseDate,Granted
Best Supporting Actress,48,Letters from Marusia,1976-01-01,0
Best Supporting Actress,49,Annie Hall,1977-01-01,0
Best Supporting Actress,50,The Deer Hunter,1978-01-01,0
Best Supporting Actress,51,Strange Fruit,1979-01-01,0
Best Supporting Actress,52,Ordinary People,1980-01-01,0
Best Supporting Actress,53,The Dollar Bottom,1981-01-01,0
Best Supporting Actress,54,Gandhi,1982-01-01,0
Best Supporting Actress,55,Terms of Endearment,1983-01-01,0
Best Supporting Actress,56,Amadeus,1984-01-01,0
Best Supporting Actress,57,Beyond the Walls,1985-01-01,0
Best Supporting Actress,58,Unfinished Business,1986-01-01,0
Best Supporting Actress,59,The Last Emperor,1987-01-01,0
Best Supporting Actress,60,Radio Bikini,1988-01-01,0
Best Supporting Actress,61,Driving Miss Daisy,1989-01-01,0
Best Supporting Actress,62,Dances With Wolves,1990-01-01,0
Best Supporting Actress,63,The Silence of the Lambs,1991-01-01,0
Best Supporting Actress,64,The Ox,1992-01-01,0
Best Supporting Actress,65,Schindler's List,1993-01-01,0
Best Supporting Actress,66,Blood Ties: The Life and Work of Sally Mann,1994-01-01,0
Best Supporting Actress,67,Braveheart,1995-01-01,0
Best Supporting Actress,68,Little Surprises,1996-01-01,0
Best Supporting Actress,69,A Chef in Love,1997-01-01,0
Best Supporting Actress,70,Shakespeare in Love,1998-01-01,0
Best Supporting Actress,71,American Beauty,1999-01-01,0
Best Supporting Actress,72,Gladiator,2000-01-01,0
Best Supporting Actress,73,Scottsboro: An American Tragedy,2001-01-01,0
Best Supporting Actress,74,Strange Invaders,2002-01-01,0
Best Supporting Actress,75,The Lord of the Rings: The Return of the King,2003-01-01,0
Best Supporting Actress,76,Million Dollar Baby,2004-01-01,0
Best Supporting Actress,77,Hardwood,2005-01-01,0
Best Supporting Actress,78,The Departed,2006-01-01,0
Best Supporting Actress,79,No Country for Old Men,2007-01-01,0
Best Supporting Actress,80,La Corona,2008-01-01,0
Best Supporting Actress,81,The Final Inch,2009-01-01,0
Best Supporting Actress,82,Music by Prudence,2010-01-01,0
Best Supporting Actress,83,The Artist,2011-01-01,0
Best Supporting Actress,84,Saving Face,2012-01-01,0
Best Supporting Actress,85,12 Years a Slave,2013-01-01,0
Best Supporting Actress,86,Helium,2014-01-01,0
Best Supporting Actress,87,Spotlight,2015-01-01,0
Best Supporting Actress,88,Moonlight,2016-01-01,0
Best Supporting Actress,89,Silent Nights,2017-01-01,0
Best Supporting Actress,90,Green Book,2018-01-01,0
Best Supporting Actress,91,Parasite,2019-01-01,0
Best Supporting Actress,92,Nomadland,2020-01-01,0
Best Supporting Actress,93,Judas and the Black Messiah,2021-01-01,0
Best Supporting Actress,94,Everything Everywhere All at Once,2022-01-01,0
Best Supporting Actress,95,Ivalu,2023-01-01,0
Best Supporting Actress,96,Emilia Pérez,2024-01-01,0
